code,name,prereqs
AMST 2697,Museum Interpretation Practices,
AMST 0190L,Cry for Justice: Asian American Literature of Social Activism,
AMST 0190M,"Ecological (De)colonization: North American Environmental History, Justice, and Sovereignty",
AMST 1010,Introduction to American Studies: American Icons,
AMST 1700K,Race in the Americas: A Hemispheric Perspective,
AMST 1902R,Memory and Forgetting in Popular Culture,
AMST 1902S,Dawnland Voices: Exploring Native New England,
AMST 1904B,Henry James Goes to the Movies,
AMST 1905N,War and the Mind in Modern America,
AMST 1906R,Law and Transformative Social Change,
AMST 1906S,Narratives of Blackness in Latinx and Latin America (ENGL 1761B),ENGL\xa01761
AMST 1906T,Captive Voices: Atlantic Slavery in the Digital Age (HIST 1970G),HIST\xa01970
AMST 1950,Pursuit of Happiness: Environmental Justice and Indigenous Rights,
AMST 2220M,Rethinking Asian American Studies,
AMST 2220N,"Black Feminism: Roots, Routes, Futures",
AMST 2500A,History Curatorship,
AMST 2655,"Against Invisibility: Asian America/s, Collective Memory and the Public Humanities",
AMST 2670,Summer Practicum in Public Humanities,
AMST 2689,Show Me the Money: Philanthropy and Civil Society,
AMST 2699,Digital Storytelling,
AMST 0150E,Skill: From Flint-knapping to the Maker Movement,
AMST 1500A,Research and Transnational Communities: Qualitative Fieldwork Methods,
AMST 1600G,Contemporary Black Women's Literature (ENGL 1711L),ENGL\xa01711
AMST 1612Q,Women / Writing / Power,
AMST 1700M,Transpacific America,
AMST 1900I,Latina/o Cultural Theory,
AMST 1901E,Introduction to Ethnomusicology (MUSC 1900),MUSC\xa01900
AMST 1902U,Zombies Pirates Ghosts Witches,
AMST 1902V,Visions of a Post-Industrial Society,
AMST 1906Q,The History of Children and Childhood in America,
AMST 2220F,The Transnational Practice of U.S. Popular Culture,
AMST 2631,Public Humanities on Lockdown:Considerations on the role + design of humanities programs in prisons,
AMST 2686,Creating a 21st Century Art and Design Museum: A Seminar and Laboratory,
AMST 2687,History & Heritage Organizations: Collaboration & Critique,
AMST 0150P,"The Teen Age: Youth, Society and Culture in Early Cold War America",
AMST 0170C,"Race, Class, and Girlhood",
AMST 0191C,"Race and Space:  Segregation, Suburbanization, and Sites of Encampment",
AMST 0191F,No-No Boy: Experimental Scholarship on Asian-America,
AMST 1700L,Bad Rehab: Rehabilitation Regimes of the American Ethic,
AMST 1900H,New Media as a Tool for Social and Political Change,
AMST 1900T,"Disability: History, Theory, and Bodily Difference",
AMST 1902B,"Water is Life/New Currents in the Study of Land, Water and Indigeneity (ETHN 1750H)",ETHN\xa01750
AMST 1902C,"Indigeneity, Sustainability and Resistance in Food Politics (ETHN 1750I)",ETHN\xa01750
AMST 1902D,"Make a Body Riot: Laughter, Resistance, and African American Literature (GNSS 1961J)",GNSS\xa01961
AMST 1902F,"Global America: Gender, Empire, and Internationalism Since 1890 (GNSS 1961I)",GNSS\xa01961
AMST 1906P,Food in American Society and Culture,
AMST 2220K,The Body (HIST 2981J),HIST\xa02981
AMST 2666,"Repair: Museums, Material, and Metaphor",
AMST 1906I,Decolonizing Museums: Collecting Indingenous Culture in Taiwan and North America,
AMST 0191O,"Revolting Bodies: Aesthetics, Representation, and Popular Culture",
AMST 1904K,Power + Water: Material Culture and its Environmental Impact,
AMST 1905X,"Public Memory: Testimony, Memorial, Ritual",
AMST 2692,Digital Public Humanities,
AMST 2694,Decolonizing Public Humanities: Intersectional Approaches to Curatorial Work + Community Organizing,
AMST 2698,Critical Perspectives in Informal Learning,
AMST 0150N,Color Me Cool,
AMST 0190Z,Queering the Archive:  History and the Politics of Identity,
AMST 0191B,"Race and Nation in the U.S.: Belonging, Longing, and Resistance",
AMST 0192C,Race in the Museum,
AMST 1540,"Public Humanities: History, Theory, Practice",
AMST 1600D,Sports in American Society,
AMST 1611Z,The Century of Immigration,
AMST 1700I,Community Engagement with Health and the Environment,
AMST 1902Z,Radio: From Hams to Podcasts,
AMST 1904V,Decolonizing Minds: A People's History of the World,
AMST 1905L,Transpacific Popular Culture,
AMST 1905R,Theory and Practice of Local History (HIST 1972E),HIST\xa01972
AMST 1905T,Imagining Formosa:  American Writings on Taiwan,
AMST 1906H,Beauty Pageants in American Society,
AMST 1906J,"Race, Gentrification, and the Policing of Urban Space (PLCY 1701W)",
AMST 1906M,"Making Knowledge in the Progressive Era: Institutions, Spaces, and Ideas",
AMST 1500C,Critical Approaches to Global Humanitarianism in Thailand,
AMST 0150L,Object Histories: The Material Culture of Early America (HIST 0550A),HIST\xa00550
AMST 0191Y,"Cradle of Democracy?: Race, Childhood, and U.S. National Identity",
AMST 0192B,Remixing Racial Codes: Interraciality in Literature and Film Post-1945,
AMST 0192D,Social Memory and the 60s: From Nixon to Nostalgia,
AMST 0253,"Religion, Politics, and Culture in America (HIST 0253)",HIST\xa00253
AMST 1250G,Topics in Material Culture Studies: The Arts and Crafts Movement in America 1880-1920,
AMST 1601,Health and Healing in American History,
AMST 1700D,Race and Remembering,
AMST 1906N,"Whiteness, Power, and Privilege: The Invention and Persistence of the White Race",
AMST 2580,Managing and Evaluating Arts and Culture Institutions,
AMST 2590,"Creativity, Community and Controversy in Cultural Policy",
AMST 2653,"Public Art: History, Theory, and Practice",
ANTH 0300,Culture and Health,
ANTH 0800,Sound and Symbols: Introduction to Linguistic Anthropology,
ANTH 1111,Anthropology of China,
ANTH 1145,Barbarians and Bandits: Exploring Subaltern Resilience and State Power,
ANTH 1242,Bioethics and Culture,
ANTH 1301,Anthropology of Homelessness,
ANTH 1315,"Race, Racialization, and Health",
ANTH 1623,Archaeology of Death,
ANTH 1720,The Human Skeleton,
ANTH 1830,The Pictured Text,
ANTH 1911,Gender and Sexuality in the Middle East,
ANTH 1940,Ethnographic Research Methods,
ANTH 1990,Senior Seminar: (Re)Making Anthropology,
ANTH 2060,Anthropology Dissertators' Seminar,
ANTH 2202,Advanced GIS and Spatial Analysis,
ANTH 2271,Fiction / Ethnography (+ the space between),
ANTH 2320,Anthropology and Development: Critical Ethnographic Perspectives,
ANTH 2970,Preliminary Examination Preparation,
ANTH 2990,Thesis Preparation,
ANTH 0066D,Who Owns the Past?,
ANTH 0066J,So You Want to Change the World?,
ANTH 0500,Past Forward: Discovering Anthropological Archaeology,
ANTH 1031,Classic Mayan Civilization,
ANTH 1115,Anthropology of the Chinese Diaspora,
ANTH 1225,Gendering Migration and Diasporas,
ANTH 1236,Urban Life: Anthropology in and of the City,
ANTH 1253,The Visual in Anthropology: Documentary Films and Society,
ANTH 1300,Anthropology of Addictions and Recovery,
ANTH 1622,Archaeology of Settler Colonialism,
ANTH 1820,Lost Languages: The Decipherment and Study of Ancient Writing Systems,
ANTH 1848,Ethnography + Social Critique,
ANTH 1901,Anthropology in/of the Museum,
ANTH 2045,Proposal Writing Workshop for Anthropological Fieldwork,
ANTH 0066X,Politics and Symbols,
ANTH 0303,Whiteness in the World (SOC 0300W),SOC\xa00300
ANTH 0415,"New Faces, New Challenges: Immigrant Students in U.S. Schools (EDUC 0410A)",EDUC\xa00410
ANTH 1250,Film and Anthropology: Identity and Images of Indian Societies,
ANTH 1405,"Race, Rights and Rebellion (AFRI 1020D)",AFRI\xa01020
ANTH 1725,The Archaeology of College Hill (ARCH 1900),ARCH\xa01900
ANTH 0100,Introduction to Cultural Anthropology,
ANTH 0310,Human Evolution,
ANTH 1201,Introduction to Geographic Information Systems and Spatial Analysis,
ANTH 1505,Vertical Civilization: South American Archaeology from Monte Verde to the Inkas,
ANTH 1515,Anthropology of Mental Health,
ANTH 1624,"Indians, Colonists, and Africans in New England",
ANTH 1631,The Just City (URBN 1934),
ANTH 1650,Ancient Maya Writing,
ANTH 1910B,Anthropology of Place,
ANTH 1960,Anthropology of Infrastructure (HMAN 1974T),
ANTH 2010,Principles of Cultural Anthropology,
ANTH 2020,Methods of Anthropological Research,
ANTH 2210,Anthropology of Kinship,
ANTH 2300,Anthropological Demography,
ANTH 2310A,"Violence, Governance, and Transnationalism",
ANTH 2800,Linguistic Theory and Practice,
ANTH 1030,Pre-Columbian Art and Architecture: A World That Matters,
ANTH 1223,"Gender, Nature, the Body",
ANTH 1350,Anthropology of Epidemics,
ANTH 1601,Reimagining Climate Change,
ANTH 1760,Disability and Culture in the Past and Present,
ANTH 2230,Medical Anthropology,
ANTH 2253,Transnational Feminist Politics and Knowledge Production,
ANTH 2501,Principles of Archaeology,
ANTH 0066N,Peoples and Cultures of Greater Mexico,
ANTH 1237,"The Just City: Installment I, Comparative Perspectives on Juvenile Justice Reform (URBN 1932)",URBN\xa01932
ANTH 1240,Religion and Culture,
ANTH 1750,Bioarchaeology and Forensic Anthropology,
ANTH 2050,Ethnography,
ANTH 2515,Material Matters,
ANTH 2520,Mesoamerican Archaeology and Ethnohistory,
ANTH 1125,Indigenous Archaeologies,
ANTH 1150,Middle East in Anthropological Perspective,
ANTH 1423,"Migrants, Political Activism and the Racialization of Labor (POBS 1601M)",POBS\xa01601
ANTH 1553,Energy and Power,
ANTH 1599,Politics of Indigeneity in Brazil (LACA 1503Q),LACA\xa01503
ANTH 1621,Material Culture Practicum,
ANTH 1681,Treaty Rights and Food Fights: Eating Local in Indian Country (ETHN 1750B),ETHN\xa01750
ANTH 2000,History of Ethnological Theory,
ANTH 2055,"Infrastructure, Inequality and Ignorance",
ANTH 2130,Biopolitics,
ANTH 2590,"Space, Power, and Politics",
ANTH 0110,"Anthropology and Global Social Problems: Environment, Development, and Governance",
ANTH 0680,Anthropology of Food,
ANTH 0805,Language and Migration,
ANTH 1126,Ethnographies of Heritage: Community and Landscape of the Mediterranean and Beyond,
ANTH 1310,International Health: Anthropological Perspectives,
ANTH 1900,History of Anthropology: Anthropological Theories,
ANTH 1910D,Faces of Culture,
ANTH 2500A,Problems in Archaeology: Archaeology of Colonialism,
ANTH XLIST,Courses of Interest to Students Concentrating in Anthropology,
ANTH 0450,"Inequality, Sustainability, and Mobility in a Car-Clogged World",
ANTH 1255,Anthropology of Disasters,
ANTH 1320,Anthropology and International Development: Ethnographic Perspectives on Poverty and Progress,
ANTH 2560,"Lived Bodies, Dead Bodies: The Archaeology of Human Remains",
ANTH 0820,"Youth, Art, and the Promised City: Recreating The Green Book",
ANTH 0900,Babel's Basement: An Introduction to Linguistic Discrimination (and Redemption),
ANTH 1232,War and Society,
ANTH 1345,Anthropology of the Himalayas,
ANTH 1910I,Material Matters,
ANTH 2011,Body Arts: The Human Frame as Cultural Expression,
ANTH 0700,Introduction to Modern South Asia,
ANTH 2225,Life Itself,
ANTH 1557,"Sex, Gender, and Subversion: An Introduction to Queer Anthropology",
ANTH 0066S,Contemporary Egypt in Revolution,
ANTH 0077N,The Anthropology of Gender and Science,
ANTH 1050,Global Sport: Anthropological Perspectives,
ANTH 1151,Ethnographies of the Muslim Middle East,
ANTH 1251,Violence and the Media,
ANTH 1312,"Stratified Reproduction: Race, Class and Parenthood",
ANTH 1580,"ISIS, NAGPRA, and the Academy: Archaeology and Global Issues in Cultural Heritage",
ANTH 1910G,Senior Seminar: Politics and Symbols,
ANTH 2205,Critical Ethnographies of Race and Indigeneity,
ANTH 2304,Issues in Anthropology and Population,
ANTH 1112,Anthropology of Climate Change,
ANTH 1120,Peoples and the Cultures of the Americas,
ANTH 1212,The Anthropology of Play,
ANTH 1224,"Human Trafficking, Transnationalism, and the Law",
ANTH 2018,Labor and Social Life,
ANTH 2252,Decolonizing Feminist Anthropology: Theory and Method,
ANTH 2315,Anthropology of State Power and Powerlessness,
ANTH 0001,Anthropology of Stuff,
APMA 0160,Introduction to Scientific Computing,MATH\xa00100
APMA 0340,Methods of Applied Mathematics II,APMA\xa00330
APMA 0350,Applied Ordinary Differential Equations,MATH\xa00100
APMA 0360,Applied Partial Differential Equations I,APMA\xa00350
APMA 0650,Essential Statistics,
APMA 1070,Quantitative Models of Biological Systems,APMA\xa00350
APMA 1180,Introduction to Numerical Solution of Differential Equations,APMA\xa00350APMA\xa00360
APMA 1200,Operations Research: Probabilistic Models,APMA\xa01650
APMA 1360,Applied Dynamical Systems,APMA\xa00350
APMA 1650,Statistical Inference I,APMA\xa01650APMA\xa01650MATH\xa00100
APMA 1655,Honors Statistical Inference I,APMA\xa01655APMA\xa01650MATH\xa00180
APMA 1660,Statistical Inference II,APMA\xa01660APMA\xa01650APMA\xa01650MATH\xa00520
APMA 1710,Information Theory,APMA\xa01650
APMA 1740,Recent Applications of Probability and Statistics,APMA\xa01650APMA\xa01200APMA\xa01690MATH\xa01010APMA\xa02610
APMA 1860,Graphs and Networks,APMA\xa00350APMA\xa01650APMA\xa01200APMA\xa01690
APMA 1941D,Pattern Theory,
APMA 2200,Nonlinear Dynamical Systems: Theory and Applications,
APMA 2240,Partial Differential Equations,
APMA 2560,Numerical Solution of Partial Differential Equations II,
APMA 2610,Recent Applications of Probability and Statistics,APMA\xa01650APMA\xa01200APMA\xa01690MATH\xa01010APMA\xa02610
APMA 2640,Theory of Probability II,APMA\xa02640
APMA 2822E,Topic Course in Kinetic Theory,
APMA 2990,Thesis Preparation,
APMA 0200,Introduction to Modelling,
APMA 1080,Inference in Genomics and Molecular Biology,APMA\xa01650APMA\xa00160CSCI\xa00111
APMA 1160,An Introduction to Numerical Optimization,MATH\xa00180MATH\xa00520APMA\xa00160CSCI\xa00111APMA\xa01170
APMA 1170,Introduction to Computational Linear Algebra,MATH\xa00100MATH\xa00520
APMA 1210,Operations Research: Deterministic Models,MATH\xa00100APMA\xa00160CSCI\xa00111
APMA 1330,Applied Partial Differential Equations II,APMA\xa00360
APMA 1690,Computational Probability and Statistics,APMA\xa01650
APMA 1910,Race and Gender in the Scientific Community,
APMA 1930V,"Randomized Algorithms for Counting, Integration and Optimization",
APMA 2080,Inference in Genomics and Molecular Biology,APMA\xa01650APMA\xa00160CSCI\xa00111
APMA 2190,Nonlinear Dynamical Systems I,
APMA 2230,Partial Differential Equations I,
APMA 2550,Numerical Solution of Partial Differential Equations I,
APMA 2570A,Numerical Solution of Partial Differential Equations III,APMA\xa02550
APMA 2630,Theory of Probability I,APMA\xa02630
APMA 2812D,Topics in Modern Learning Theory and its Applications,
APMA 2812E,Semidefinite and Combinatorial Optimization.,
APMA 0330,"Methods of Applied Mathematics I, II",MATH\xa00100
APMA 1720,Monte Carlo Simulation with Applications to Finance,APMA\xa01650MATH\xa01610
APMA 1940Y,Wavelets and Applications,
APMA 1941B,Graphs and Networks,
APMA 2120,Hilbert Spaces and Their Applications,APMA\xa02110
APMA 2580B,Computational Fluid Dynamics for Compressible Flows,APMA\xa02550
APMA 2680,Mathematical Statistics II,APMA\xa02670
APMA 2822D,Some Topics in Kinetic The,
APMA 1930U,Introduction to Stochastic Differential Equations,
APMA 2110,Real Analysis,
APMA 2670,Mathematical Statistics I,APMA\xa02630
APMA 2812C,Interacting Particle Systems,
APMA 1911,Race and Gender in the Scientific Community (MATH 1910),
APMA 1941A,An Introduction to Pattern Theory,
APMA 2120A,Real Function Theory (MATH 2210),MATH\xa02220
APMA 2420,Fluid Mechanics II,
APMA 2570B,Numerical Solution of Partial Differential Equations III,APMA\xa02550
APMA 2822C,Combinatorial Theory,
APMA 1681,Computational Neuroscience (NEUR 1680),NEUR\xa01680
APMA 1930T,Waves,
APMA 2110A,Real Function Theory (MATH 2210),MATH\xa02210
APMA 2580A,Computational Fluid Dynamics,
APMA 2811Z,Stochastic Partial Differential Equations: Theory and Numerics,APMA\xa02630APMA\xa02640APMA\xa02550
APMA 2812A,An Introduction to Stochastic Control,
APMA 2812B,An Introduction to SPDE's,
APMA 1150,Machine Learning for Scientific Modeling: Data-Driven Discovery of Differential Equations(MATH 1150),MATH\xa01150
APMA 2822B,Introduction to Parallel Computing on Heterogeneous (CPU+GPU) Systems,
APMA 1930P,Mathematics and Climate,APMA\xa00360APMA\xa00340APMA\xa01650
APMA 2810Q,Discontinous Galerkin Methods,APMA\xa02550
APMA 2811Y,Topics in Stochastic Analysis,
APMA 1940X,Topics in Information Theory and Coding Theory,
APMA 2822A,High Order Finite Element Methods: Theory and Implementation,
APMA 0110,What’s the big deal with Data Science?,
APMA 1930S,Approximations for Piecewise Smooth Functions,
APMA 2811W,Convex Analysis and Minimization Algorithms,
APMA 2811X,Finitite Element Exterior Calculus,
APMA 1940V,Topics in Coding Theory,
APMA 1940W,"Randomized Algorithms for Counting, Integration and Optimzation",
APMA 2811O,Dynamics and Stochastics,APMA\xa02630APMA\xa02640
APMA 2821V,Neural Dynamics: Theory and Modeling,APMA\xa00350
APMA 1930Q,Mathematical Models of Cortical Dynamics,
APMA 1930R,Probabilities in Quantum Mechanics,
APMA 2811T,Dissipative Particle Dynamics,
APMA 2811U,Topics in Markov Processes And Stochastic Analysis,
APMA 2811V,Convex Analysis and Minimization Algorithms,
APMA 2970,Preliminary Examination Preparation,
ARAB 0200,First-Year Arabic,ARAB\xa00100ARAB\xa00100
ARAB 0400,Second-Year Arabic,ARAB\xa00300ARAB\xa00300
ARAB 0600,Third-Year Arabic,ARAB\xa00500
ARAB 0800B,Advanced Arabic II: Arabic of the Quran,
ARAB 0950,Advanced Reading and Composition: Arabic Fiction in the West,
ARAB 0100,First-Year Arabic,ARAB\xa00200
ARAB 0300,Second-Year Arabic,ARAB\xa00200ARAB\xa00400
ARAB 0500,Third-Year Arabic,ARAB\xa00400
ARAB 0700,Advanced Arabic:  Tales of the City,ARAB\xa00600
ARAB 0450B,Beginning Egyptian Colloquial Arabic,
ARAB 0800,Advanced Arabic: Language & Culture through Cinema,
ARAB 0450A,Beginning Levantine Colloquial,
ARAB 0850,Advanced reading and composition in Arabic: Kalila wa-Dimna,
ARAB 0120,Intensive Summer Arabic,ARAB\xa00100ARAB\xa00200
ARAB 1100,"Love, Revolution and Nostalgia in Modern Arabic Poetry",
ARAB 1990B,Advanced Egyptian Arabic: Displacement and Diaspora in a Modernizing Egypt,
ARCH 0156,Architecture and Urbanism of the African Diaspora (HIAA 0770),HIAA\xa00770
ARCH 0255,Monsters,
