code,subject,terms,name,prereqs,postreqs,info
AFRI 1110,AFRI,"['202110', '201810', '201710']",Voices Beneath the Veil,,[],"['VBV is an interdisciplinary exploration of African-American history and cultures through the analyses of Black authored plays from 1858 to the present. The course focuses on the development of a thesis paper, which includes an incremental re-writing process.']"
AFRI 1200X,AFRI,['202110'],The Art and Imagination of Josephine Baker,,[],"[""This class is a seminar-style exploration of the art and imagination of Josephine Baker, the 20th century's most famous Black celebrity. Baker was an iconoclastic political thinker, a race-bending globetrotter, and a figure of outsized historical consequence. Her biography sheds light on many of the major dynamics of Black history, including the long histories of civil rights and human rights, and of radicalism and internationalism. Students will study Baker's body of artistic work, her role in many of the major social movements of the century, and her legacy right up to the present. The aim is to leave the class with a deep and thorough knowledge of her life, her ideas, and her politics.""]"
AFRI 1420,AFRI,['202110'],Caribbean Imaginations: Writing and Cultural Production,,[],"['In the global imagination, the Caribbean is either thought of as a place for vacation or a place of extreme violence. This course calls for a deeper engagement with the region and its diaspora by surveying the writing and cultural production of the Caribbean to unpack the varying meanings of a Caribbean imagination in the historical and present moment. We will cover themes ranging from enslavement, indentureship, colonialism, racial formation, gender and sexuality, class, and migration to understand the various transformations in Caribbean literary and expressive cultures. Students will evaluate the aesthetic and political contributions that these imaginative works put forward in a broader understanding of the Caribbean. Materials include novels, short stories, poetry, film, music videos, and visual art. Readings will be inclusive of the Anglophone, Hispanophone, Francophone, and Dutch Caribbean.']"
AFRI 1920,AFRI,['202110'],Health Inequality in Historical Perspective,,[],"['Seminar takes a historical perspective to explore causes of health inequality. Draws on studies from the 19th century-present. Examines socio–political and economic context of health/disease, focusing on how race, class, and gender shape the experience of health, disease causality, and public health responses with emphasis on the COVID-19 pandemic. Includes health consequences of immigration and pandemics, incarceration, race-based medicine. Enrollment restricted to 20, second and third-year students.']"
AFRI 2030,AFRI,['202110'],Sylvia Wynter and the Genres of the Human,,[],"['Sylvia Wynter is considered to be one of the world’s leading critical theorist . Wynter is a theorist of the black human experience , her plays, cinematic and theatre work ; to her numerous essays on history and culture, her novel Hills of Hebron , to her activities with the Institute of the Black World in the 1970’s and then to her contemporary writings which seeks to rewrite the history of the human particularly since the 15th century Columbian encounter, make this clear . This class will review her work in theatre and cinema , her writings in Jamaica Journal as well as some of her unpublished manuscripts and other well known works. It will pay attention to the intellectual , social and political influences on Wynter while posing the question about her as a radical black critical theorist .']"
AFRI 2101,AFRI,"['202110', '201720']",Methods in Africana Studies,,[],"['This graduate seminar brings together various methodological and theoretical approaches to interpreting Africana life, culture, thought, and politics. Placing special emphasis on emergent scholarship that shapes and reshapes the discipline of Africana Studies, we examine a selection of humanistic and social scientific studies of various local, national, and international contexts. Texts demonstrate the ways in which innovative interdisciplinary methods are crucial for understanding the complexity of the Africana world. We will give attention to the strategies scholars utilize to formulate their research questions, design their methodologies, and create new ideas that contribute to the advancement of Africana Studies scholarship.']"
AFRI 0300,AFRI,['202100'],Performing Ethnography and the Politics of Culture,,[],"[""This first-/second-year undergraduate seminar introduces students to the practice of fieldwork observation (ethnography) as a research method to investigate how Black culture is enacted and Black communities are formed and sustained. Regular opportunities to observe and participate in Black cultural events and institutions in and around Providence will develop students' capacity to conduct research, theorize and compose short works based on their observations through field note-taking assignments, short papers, and a final creative rendering.""]"
AFRI 1085,AFRI,['202100'],The Black Vote: A Critical Interrogation of a Concept,,[],"['“The black vote” as a concept, simultaneously captures a truth and obscures reality. It reflects the truth that no other racial group comes close to the uniformity of Black Americans’ voting behavior within American electoral politics. Yet, it also obscures the diversity of political opinions and ideological dispositions that animate a dynamic black American public. If voting is an essential means to give citizens voice and their share in self-rule within a democracy, this course explores what it means for the stability of American democracy that the black vote does not reflect the political diversity of the black community.']"
AFRI 1095,AFRI,['202100'],Black Women’s Science Fiction and Fantasy Novels: The Future Then & Now,,[],"['Black women’s science fiction and fantasy (SFF) are read as “freedom dreams.” In this 13-week course we will discuss how these genres confront historical black trauma and glean present meaning about Black being and futurity. We straddle two of the most prominent literary eruptions: 1979-1989 when neo-slave narratives became popularized and 2015-2021 when Black SFF literature proliferates anew, particularly in children’s categories. Beginning with Octavia Butler’s acclaimed Kindred and concluding with Tracy Deonn’s instant bestseller Legendborn, we will examine how Black SFF stages cross-temporal conversations attempting to repair the ontological ruptures of historical trauma and recuperate Black being.']"
AFRI 0500,AFRI,"['202000', '201900']","Globalization, Media and Culture",,[],"['This course is designed to examine the changing global landscape and its impact on society, culture and will draw on analytical tools from the social sciences to make sense of the rapidly changing nature of global society. In the past three decades the flows of commodities, ideas, people, norms, resources across international borders has accelerated exponentially. Driving these dynamics are not only market forces, but also the media, social networks, cultural diffusions, institutional transformations. This course focuses on the social structures, institutional and organizational forms, political processes and cultural practices that mediate the encounter of the global and the national.']"
AFRI 1060Z,AFRI,"['201900', '201810', '201710']","Race, Sexuality, and Mental Disability History",,[],"['This seminar investigates the fraught entanglement of mental disability with race and homosexuality beginning with late 19th Century ideas of scientific racism and the invention of the homosexual body in African American communities. By tracking changes in Psychiatry and Psychology through the 1960s and 1970s, the course examines the impact of the Civil Rights and Gay Rights movements on sustaining contemporary mental health diagnosis of ""gender dysphoria"" associated with Trans people. The course will further examine several approaches to queer, trans, and gay history from the fields of color critique, black feminism, and disability studies. Enrollment limit is 20.']"
AFRI 0550,AFRI,"['201820', '201720']",African American Health Activism from Emancipation to AIDS,,[],"['This historical survey course examines African American activism and social movements from Emancipation to the contemporary period through the lens of African American access to health resources. By paying close attention to how social and cultural aspects of medicine impact access and quality of care by race, gender, and sexuality, the course examines how segregation, poverty, incarceration, and policing shaped activism and healthcare. The course develops a sense of how African American activists crafted responses to different historical crises including Reconstruction, Jim Crow, Civil Rights, and the War on Drugs by the demands they made for specific resources.']"
AFRI 0610,AFRI,"['201820', '201620']",Black Student Protest from Jim Crow to the Present,,[],"['This is a history-driven class about black student protest. It puts this history in direct dialogue with other kinds of student protests over the long twentieth century. The point of the class is to ground conversations about contemporary protest culture in an historical context that extends well beyond Brown, that moves into the deep history of higher education and education more generally, and that reveals the intersection of protest with other global, national, and local plotlines. It is, as well, meant to think about how all of these histories have been represented popularly and politically in the very recent past.']"
AFRI 0880,AFRI,['201820'],Hip Hop Music and Cultures,,[],"['This course will explore both the history of the emergence of Hip Hop and the heated debates that surround it: aesthetics, censorship, sexism, violence, musical theft, originality, authenticity, the politics of cross-racial exchanges, urban black nihilism, and corporate influences on culture. These debates will be framed by our consideration of urban black life, African-American cultural formations, gender, representation, technology, commodification, pleasure and politics. Enrollment limited to 200.']"
AFRI 0990,AFRI,"['201820', '201720', '201620']",Black Lavender: Black Gay/Lesbian Plays/Dramatic Constructions in the American Theatre,,[],"['Study of plays with African-American LGBTQ+ content, primarily manuscripts, with a focus on thesis paper development. Creative writing option. Participation in the Black Lavender Experience required. Cross-listed with TAPS. Gender and Sexuality.']"
AFRI 1020C,AFRI,"['201820', '201720']",The Afro-Luso-Brazilian Triangle,,[],"['Examines three historical components of the South Atlantic in terms of history, culture, and contemporary political and economic consequences. European colonialism in Africa and Brazil constitutes the baseline for this exploration, but the long and tardy nature of Portuguese colonialism in Africa in comparison with other European colonial powers, especially in its post-World War II manifestations, is our starting point. Enrollment limited to 40.']"
AFRI 1030,AFRI,['201820'],Contesting the Carceral State,,[],"['This course introduces students to the study of crime and justice through Black, feminist, queer and prison abolitionist frameworks, with a particular focus on narratives by people of African descent in the U.S. since 1965.']"
AFRI 1060E,AFRI,"['201820', '201720']",West African Writers and Political Kingdom,,[],"['Do West African writers have a role to play in the changing political landscape of their countries? An examination of the ways and means through which a select group of West African writers have dealt with issues that relate to the role of the state in the management of individual and group relations, the politics of gender, civil and military relations, and the construction of new forms of civil society. Enrollment limited to 20.']"
AFRI 1090,AFRI,"['201820', '201620']",Black Freedom Struggle Since 1945,,[],"['Lecture course that examines the extended history of the mass civil rights movement in the U.S. Starting at World War II, we consider the roles of the courts, the federal and state governments, organizations, local communities, individuals and various activist strategies in the ongoing struggle for African American equality, focusing on African American agency, particularly in the South, but also in Boston, Mass. Sources include photographs, documentaries, movies, letters, speeches, autobiographies, and secondary readings. Requirements: Weekly readings, documentary viewings, 4 short papers, 2 exams.']"
AFRI 1100B,AFRI,"['201820', '201720']","The Caribbean: Cultures, Politics, Histories and Literature",,[],"['The Caribbean archipelago has brought forth a new awareness of the region not as a fixed entity of islands as previously viewed; rather, it is a diverse group of islands that are not only geographically linked but share a common history of slavery and colonialism. This course aims to present students with an opportunity to delve into substantive multidisciplinary (social science and literary) texts that seek to analyze, expose and deconstruct forces that continue to shape the Caribbean.']"
AFRI 1150,AFRI,"['201820', '201720']",Afro-Caribbean Philosophy,,[],"['An introduction to the field of Afro-Caribbean philosophy. The first half focuses on the history of the field, identifying its African background and surveying some of its major schools, such as the Afro-Christians, the poeticists, the historicists, and existentialists. The second half consists of a more intensive comparative focus on the ontologies and epistemologies of two of these schools.']"
AFRI 2104,AFRI,['201820'],Theorizing the Black Diaspora,,[],"['This seminar will focus on the theorization of the black diaspora as a way to explore the various articulations of colonialism, gendered racism and resistance against that racism throughout African-descendant communities. Course readings will highlight the scholarship of black women who have contributed to the internationalization of radical black vis-a-vis theories of diaspora, transnationalism, transformative politics, identity formation, and community. This course is open to upper level concentrators in Africana Studies by permission of instructor. Enrollment limited to 19.']"
AFRI 1040,AFRI,['201810'],"Decolonized Bodies, Spirit Bodies: Tracing the Indigenous Knowledge of Africans",,[],"['This course is a comprehensive study of the indigenous bodies of knowledge of rituals as they permeate the wholeness of the existence of African people referencing Yoruba nation of West Africa. It will integrate visual art methods with Rites and Reason Theatre’s Research-to-Performance Method, where students will explore and trace the hidden legacies of the indigenous people of Africa in visual arts, music, dance, fashion, poetry, story-telling as a way of understanding the impacts of slavery, colonialism and decolonization of indigenous knowledge. Students will have the opportunity to study selected enduring indigenous festivals, organize and stage performance as knowledge production.']"
AFRI 1060U,AFRI,"['201810', '201720']",An Introduction to Africa,,[],"['Africa invokes myriad images in the global imagination. It figures in debates on the evolution of humans; in the formation of capitalism, and even as a counterpoint to discourses on human progress. This course interrogates how “Africa” gets mobilized in popular discourse in the US and beyond. How might we reconcile the idea of Africa with contemporary conditions of the African continent? We will not only examine Africa through a broad range of disciplinary perspectives; but also become familiar with social, cultural, political and economic diversity of the African continent.\xa0We will engage the disciplines of history, economics, politics, cultural studies and gender studies among others.']"
AFRI 1060W,AFRI,['201810'],"Policy, Culture and Discourse that Shape Health and Access to Healthcare",,[],"['The global discourse on health and access to healthcare are shaped by narratives that often conflate health with being about the healthcare system rather than about where we live, the policies, the politics, and narratives/discourse that shape them. Global health also tends to promote a perspective that it is about those people over there and has nothing to do with us here. This course will create a platform that ties the global to the local. We will discuss how political and cultural discourse on race, class, and gender create the conditions that allow social inequalities to thrive.']"
AFRI 1060X,AFRI,"['201810', '201710']",African Development,,[],"['Course takes an interdisciplinary approach to introduce contemporary development issues in Africa. Drawing on literature from political sciences, economics, sociology and history, it explores the challenges of development in the continent since independence, as well as investigates the influences of governance, institutions, conflicts and external forces in Africa’s development trajectories. This is an applied course that would utilize both theoretical and policy analytical approaches to examine the political and socioeconomic dynamism in contemporary Africa. This course is guided by questions, such as: Why have most African countries remained underdeveloped, poor and susceptible to conflicts (many of which seem intractable)?']"
AFRI 1190A,AFRI,"['201810', '201620']","Framing Haiti: History, Culture, Politics + Literature",,[],"['In broadest terms, the objective of this multidisciplinary course will be to introduce students to the varied “nature” of the Haitian society and its fluid and dynamic culture, and then attempt to make historical and socio-anthropological sense of the country in relation to the region as a whole (particularly to the United States and Dominican Republic). Throughout the course we will discuss the dynamics of power in the realm of governance, with particular emphasis placed on the notion of struggle for sovereignty and the culture of resistance (through the arts) that forms the fundamental character of the national culture.']"
AFRI 1200,AFRI,['201810'],Gospel Music from the Church to the Streets,,[],"['Black gospel music has informed popular music artists including Beyoncé, Elvis, and Chance the Rapper. This course surveys African American gospel music as it is implemented for worship, evangelism, and popular consumption. Beyond analysis of key musical and lyrical characteristics of gospel, this class gives attention to the religious and sociocultural contexts that inform gospel composition and performance. Gospel music is integrally connected to the worship traditions of black American Pentecostals, Baptists, and Methodists. Consequently, this course is also a musical introduction to African American Christianity. Classes include interactive demonstrations in addition to discussion of audio/video recordings and required texts.']"
AFRI 1968,AFRI,['201810'],1968: A Year in Review,,[],"['In 1968 students’ walked-out at Brown, leading to the 1969 creation of the Rites and Reason Theatre and later the formation of Afro-American Studies, now the Department of African Studies/Rites and Reason Theatre. 1968 was also a global year of contention, confrontation and change, with consequences that continue to resonate into the present. This class harnesses the multiple narratives and studies of our faculty across the campus and alumni who took part in the 1968 walk-out. Classes blend lecture and discussion. Speakers assign appropriate reading to coincide with their topics. Requirements include mandatory participation to planned anniversary events.']"
AFRI 2001,AFRI,"['201810', '201710']",Theories of Africana Thought: Intellectual History and Critical Theory,,[],"['This course will be a close reading of the various ideas, theories and practices of the thinkers, writers, artists and activitists whose work and practices have constituted an Africana intellectual tradition. In conducting this review we will examine questions around the formation and the history of thought and intellectual traditions in general. We will also think about the various fields of knowldege which have shaped Africana thought. The course therefore will spend some time working through the different meanings of intellectual work and critical thought and theory. Enrollment limited to 12 graduate students.']"
AFRI 2010,AFRI,['201810'],Black Transnational Feminism,,[],[]
AFRI 0760A,AFRI,"['201720', '201620']",Rastafari Studies,,[],"[""This course will introduce students to the theoretical frameworks, methods, and practice based application of engaging with the Rastafari movement. We'll critically examine literature produced about Rastafari & the community-based activism of the movement in the context of African & African Diasporic movements from the 1930s to the present. Approach of the class is interdisciplinary and thematic, drawing upon works from Africana studies, literature, history, music, and film. Students will be able to engage with Rastafari guest speakers and read the most recent literature in Rastafari studies. Special emphasis will be placed on gendered anti-Black racism and Rastafari woman’s community activism.""]"
AFRI 1100A,AFRI,['201720'],Comparative Identity Politics in Africa,,[],"['This course is a comparative analysis of identity politics in Kenya, Nigeria and South Africa. Africa is a heterogeneous region with ethnic and religious diversity. The course will introduce students to social identity theory and processes of identity politics and discuss how identity processes unfold in difference areas of political discourse.']"
AFRI 0210,AFRI,['201710'],Afro Latin Americans and Blackness in the Americas,,[],['This course focuses on the position of Blacks in the national histories and societies of Latin America from slavery to the present-day. Emphasis is on a multidisciplinary engagement with issues and the exposure of students to the critical discussion of national images and realities about blackness and Africa-descended institutions and practices. The role of racial issues in national and transnational encounters and the consequences of migration of people and ideas within the hemisphere are explored.']
AFRI 1010C,AFRI,['201710'],"Race, Gender, Ethics and Environmental Justice",,[],"['African Americans, Gender, Ethics and Environmental Justice examines the role of African Americans in the larger environmental history conversation. It utilizes a gendered lens to investigate how African American interpreted their natural surroundings and contributed to the development of 20th century American environmental consciousness. This course is reading and writing intensive.']"
AFRI 1050V,AFRI,['201710'],Rhythm and Resistance,,[],"['This course will investigate the crucial cultural and political contributions of the African Diaspora in the formation of the contemporary Americas through an analysis of the rhythms they have produced in different national settings. We will use these rhythms as a guide to understand the peoples, places and conditions under which they were created and sustained. Through classroom discussion and historical and music-analysis students will understand the relationship of these rhythms to larger issues like nationalism, migration, colonialism, globalization, the politics of sexuality, gender and race and to understand the different meanings and practices of resistance.']"
AFRI 1210,AFRI,['201710'],Afro-Brazilians and the Brazilian Polity,,[],"['Explores the history and present-day conditions of Afro-Brazilians, looking specifically at the uses of Africana in contemporary Brazil, political and cultural movements among Afro-Brazilians, domestic politics and its external dimensions, and Brazilian race relations within a global comparative framework. Texts from a variety of disciplines. A reading knowledge of Portuguese is not required but students so advantaged should inform the instructor.']"
AFRI 1050W,AFRI,['201620'],Transnational Hispaniola: Haiti and the Dominican Republic,,[],"['This course will examine the historical, political, and cultural development of the island of Hispaniola, currently divided in the countries of Haiti and the Dominican Republic. In this course we will call into question popular narratives that portray Haiti and the Dominican Republic as locked in an ahistorical, continuous conflict and explore the island’s long history of Haitian-Dominican collaborations and networks. Over time, the two countries have developed different understandings of race, ethnicity, and national identity. This course will therefore engage in a comparative survey of the interwoven dynamics of race and national construction in the making of both nations.']"
AFRI 1050X,AFRI,['201620'],"Slavery, Materiality, and Memorialization",,[],"[""The institution of slavery ended in the Americas in the 19th century, but its official conclusion says little about the ways in which its legacies are materially present and memorialized today. This course is designed to place the material aspects of slavery in conversation with less tangible dimensions of how slavery is or isn't remembered and publicly acknowledged. Students will be introduced to the social and economic dimensions of transatlantic slavery, conduct archival research, and visit sites in the Providence area in order to inspire critical dialogue about how the material realities of slavery affect our past, present, and future.""]"
AFRI 2102,AFRI,['201620'],Interdisciplinary Methods and Africana Studies,,[],"['This graduate seminar focuses on interdisciplinary methodology and Africana Studies. The seminar explores how students and scholars in Africana Studies use interdisciplinary methods developed in the social sciences and the humanities in novel and innovative ways. Students will critically examine key methodological issues in Africana Studies and how and in what ways these issues are similar to and differ from such disciplines as economics, history, sociology, and literature. Prerequisite: a prior undergraduate or graduate level methods in Humanities or Social Sciences. Enrollment limited to 20.']"
SIGN 0200,SIGN,"['202120', '202100', '202020', '201720']","American Sign Language I, II",SIGN\xa00100SIGN\xa00100,[],"['Introduces basic ASL conversation. Features core vocabulary, common signing phrases, non-manual components (facial expression, body postures), signing space, fingerspelling, numbers, loan signs, cultural protocols, rules of ASL grammar and structure. Deaf cultural behavior is introduced in the classroom and through readings, videotapes, and Deaf community events.\nThis is the second half of a year-long course. Students must have taken SIGN\xa00100 to receive credit for this course. If SIGN\xa00100 was taken for credit then this course must be taken for credit; if taken as an audit, this course must also be taken as an audit. Exceptions to this policy must be approved by both the academic department and the Committee on Academic Standing.']"
SIGN 0400,SIGN,"['202120', '202020', '201720']",American Sign Language IV,SIGN\xa00300,[],"['Intensive use of expressive and receptive skills in complex grammatical structures, advanced classifiers, dialogues, and storytelling techniques. Discussion of social factors that give rise to code-switching; regional and ethnic sign variations; social, political, and cultural evolution of U.S. Deaf community. Interaction with Deaf community in directed and non-directed activities. Prerequisite SIGN\xa00300 or placement interview. Additional 1 hour session held through Zoom every week to discuss cultural topics.']"
SIGN 0100,SIGN,"['202110', '202020', '201910', '201810', '201710', '201610']","American Sign Language I, II",SIGN\xa00200,[],['An immersive approach using authentic communication inside and outside of the classroom will be used to develop introductory communicative skills in American Sign Language. Authentic materials from diverse sources will provide an overview of the American Deaf community. Basic media literacy skills will be taught.\nThis is the first half of a year-long course whose first semester grade is normally a temporary one. Neither semester may be elected independently without special written permission. The final grade at the end of the course work in SIGN\xa00200 covers the entire year and is recorded as the final grade for both semesters.']
SIGN 0300,SIGN,"['202110', '201910', '201810', '201710', '201610']",American Sign Language III,SIGN\xa00200,[],"['This course will use an immersive approach incorporating authentic communication to develop intermediate communicative skills in American Sign Language. Through authentic materials from diverse sources, students will engage in classroom discussion and produce media to explore Deaf cultural topics related to family dynamics, language and literacy, and education. Prerequisite SIGN\xa00200 or placement interview. Additional 1 hour session held through Zoom every week to discuss cultural topics.']"
SIGN 0500,SIGN,"['202110', '201910', '201810', '201710', '201610']",American Sign Language V,SIGN\xa00400,[],"['This courses increases American Sign Language skills by introducing advanced vocabulary and grammar in various registers and settings, including informal and formal discussions, presentations, and storytelling. Through authentic materials from diverse sources, students will explore American Sign Language literature and oral traditions. Prerequisite SIGN\xa00400 or placement interview. Additional 1 hour session held through Zoom every week to discuss cultural topics.']"
SIGN 0600,SIGN,['201720'],American Sign Language VI,,[],[]
AMST 0170E,AMST,['202120'],Black to the Future: Race as Science Fiction,,[],[]
AMST 0190N,AMST,"['202120', '201820']",Health as Morality in American Life,,[],"['This course examines the many ways in which the idea of health is morally constructed in American society and culture. Students investigate health as a moral value and study how conceptions of health affect individuals, shape culture, and organize society. Taking an interdisciplinary approach, we investigate how “health” constructs norms, stigma, and the experiences and practices of day-to-day life. Choosing from such topics as addiction, diet, vaccines, cigarettes, illness, disability, genetic testing, sex, and obesity, students write analyses about how moral constructions of health shape and are shaped by media, history, capitalism, politics, race, gender, and class.']"
AMST 0192L,AMST,['202120'],"Making Metropolitan ""Man”: The Politics of Human Being in Modern Urban Space",,[],[]
AMST 0192M,AMST,['202120'],Martinique and the Black Radical Imagination,,[],[]
